occurrenceID	inst	kingdom
http://id.luomus.fi/MY.12051564	Helsinki	Plantae
http://id.luomus.fi/MY.12051573	Helsinki	Plantae
http://id.luomus.fi/MY.12051595	Helsinki	Plantae
http://id.luomus.fi/MY.12051512	Helsinki	Plantae
http://id.luomus.fi/MY.12051525	Helsinki	Plantae
http://id.luomus.fi/MY.12051530	Helsinki	Plantae
http://id.luomus.fi/MY.12051550	Helsinki	Plantae
http://id.luomus.fi/MY.12051607	Helsinki	Plantae
http://id.luomus.fi/MY.12051611	Helsinki	Plantae
http://id.luomus.fi/MY.12051645	Helsinki	Plantae
http://id.luomus.fi/MY.12051659	Helsinki	Plantae
http://id.luomus.fi/MY.12051667	Helsinki	Plantae
http://id.luomus.fi/MY.12051722	Helsinki	Plantae
http://id.luomus.fi/MY.12051736	Helsinki	Plantae
http://id.luomus.fi/MY.12051761	Helsinki	Plantae
http://id.luomus.fi/MY.12051771	Helsinki	Plantae
http://id.luomus.fi/MY.12051708	Helsinki	Plantae
http://id.luomus.fi/MY.12051717	Helsinki	Plantae
http://id.luomus.fi/MY.12051851	Helsinki	Plantae
http://id.luomus.fi/MY.12051876	Helsinki	Plantae
http://id.luomus.fi/MY.12051811	Helsinki	Plantae
http://id.luomus.fi/MY.12051831	Helsinki	Plantae
http://id.luomus.fi/MY.12028422	Helsinki	incertae sedis
http://id.luomus.fi/MY.12029342	Helsinki	incertae sedis
http://id.luomus.fi/MY.12029382	Helsinki	Plantae
http://id.luomus.fi/MY.12034293	Helsinki	Plantae
http://id.luomus.fi/MY.12034596	Helsinki	Plantae
http://id.luomus.fi/MY.12034817	Helsinki	Plantae
http://id.luomus.fi/MY.12032683	Helsinki	Plantae
http://id.luomus.fi/MY.12032712	Helsinki	Plantae
http://id.luomus.fi/MY.12032882	Helsinki	Plantae
http://id.luomus.fi/MY.12032878	Helsinki	Plantae
http://id.luomus.fi/MY.12032850	Helsinki	Plantae
http://id.luomus.fi/MY.12032842	Helsinki	Plantae
http://id.luomus.fi/MY.12032898	Helsinki	Plantae
http://id.luomus.fi/MY.12032974	Helsinki	Plantae
http://id.luomus.fi/MY.12032954	Helsinki	Plantae
http://id.luomus.fi/MY.12032946	Helsinki	Plantae
http://id.luomus.fi/MY.12032910	Helsinki	Plantae
http://id.luomus.fi/MY.12032902	Helsinki	Plantae
http://id.luomus.fi/MY.12035381	Helsinki	Plantae
http://id.luomus.fi/MY.12031278	Helsinki	Plantae
http://id.luomus.fi/MY.12031361	Helsinki	Plantae
http://id.luomus.fi/MY.12031296	Helsinki	Plantae
http://id.luomus.fi/MY.12133110	Helsinki	Fungi
http://id.luomus.fi/MY.12133122	Helsinki	Fungi
http://id.luomus.fi/MY.12133182	Helsinki	Fungi
http://id.luomus.fi/MY.12133146	Helsinki	Fungi
http://id.luomus.fi/MY.12133158	Helsinki	Fungi
http://id.luomus.fi/MY.12133162	Helsinki	Fungi
http://id.luomus.fi/MY.12133066	Helsinki	Fungi
http://id.luomus.fi/MY.12133098	Helsinki	Fungi
http://id.luomus.fi/MY.12133022	Helsinki	Fungi
http://id.luomus.fi/MY.12133050	Helsinki	Fungi
http://id.luomus.fi/MY.12133202	Helsinki	Fungi
http://id.luomus.fi/MY.12133206	Helsinki	Fungi
http://id.luomus.fi/MY.4995503	Helsinki	Plantae
http://id.luomus.fi/MY.12054757	Helsinki	incertae sedis
http://id.luomus.fi/MY.12055289	Helsinki	incertae sedis
http://id.luomus.fi/MY.12054195	Helsinki	incertae sedis
http://id.luomus.fi/MY.11908938	Helsinki	Plantae
http://id.luomus.fi/MY.11908930	Helsinki	Plantae
http://id.luomus.fi/MY.11908950	Helsinki	incertae sedis
http://id.luomus.fi/MY.11908974	Helsinki	Plantae
http://id.luomus.fi/MY.12031957	Helsinki	Plantae
http://id.luomus.fi/MY.12031945	Helsinki	Plantae
http://id.luomus.fi/MY.12031933	Helsinki	Plantae
http://id.luomus.fi/MY.12031917	Helsinki	Plantae
http://id.luomus.fi/MY.12031589	Helsinki	Plantae
http://id.luomus.fi/MY.12031661	Helsinki	Plantae
http://id.luomus.fi/MY.12031637	Helsinki	Plantae
http://id.luomus.fi/MY.12031625	Helsinki	Plantae
http://id.luomus.fi/MY.12031601	Helsinki	Plantae
http://id.luomus.fi/MY.12031609	Helsinki	Plantae
http://id.luomus.fi/MY.12031797	Helsinki	Plantae
http://id.luomus.fi/MY.12031785	Helsinki	Plantae
http://id.luomus.fi/MY.12031893	Helsinki	Plantae
http://id.luomus.fi/MY.12099548	Helsinki	incertae sedis
http://id.luomus.fi/MY.12091088	Helsinki	incertae sedis
http://id.luomus.fi/MY.12091092	Helsinki	incertae sedis
http://id.luomus.fi/MY.12091096	Helsinki	incertae sedis
http://id.luomus.fi/MY.12091436	Helsinki	incertae sedis
http://id.luomus.fi/MY.12098476	Helsinki	incertae sedis
http://id.luomus.fi/MY.12098480	Helsinki	incertae sedis
http://id.luomus.fi/MY.12098488	Helsinki	incertae sedis
http://id.luomus.fi/MY.12098496	Helsinki	incertae sedis
http://id.luomus.fi/MY.12098484	Helsinki	incertae sedis
http://id.luomus.fi/MY.12098460	Helsinki	incertae sedis
http://id.luomus.fi/MY.12098464	Helsinki	incertae sedis
http://id.luomus.fi/MY.12098472	Helsinki	incertae sedis
http://id.luomus.fi/MY.12098576	Helsinki	incertae sedis
http://id.luomus.fi/MY.12098528	Helsinki	incertae sedis
http://id.luomus.fi/MY.12098520	Helsinki	incertae sedis
http://id.luomus.fi/MY.12098572	Helsinki	incertae sedis
http://id.luomus.fi/MY.12098788	Helsinki	incertae sedis
http://id.luomus.fi/MY.12098784	Helsinki	incertae sedis
http://id.luomus.fi/MY.12098768	Helsinki	incertae sedis
http://id.luomus.fi/MY.12098748	Helsinki	incertae sedis
http://id.luomus.fi/MY.12084683	Helsinki	incertae sedis
http://id.luomus.fi/MY.12084687	Helsinki	incertae sedis
http://id.luomus.fi/MY.12084695	Helsinki	incertae sedis
http://id.luomus.fi/MY.12084763	Helsinki	incertae sedis
http://id.luomus.fi/MY.12084767	Helsinki	incertae sedis
http://id.luomus.fi/MY.12084775	Helsinki	incertae sedis
http://id.luomus.fi/MY.12084779	Helsinki	incertae sedis
http://id.luomus.fi/MY.12084715	Helsinki	incertae sedis
